subject,t,c_hat,ci_low,ci_high
S01,7.0,4.728760057877828,4.455362767802628,5.002157347953029
S01,7.1,4.655371313214267,4.380949073387861,4.929793553040672
S01,7.2,4.583091986633179,4.307569859640625,4.858614113625733
S01,7.3,4.511908676473822,4.235224868917977,4.7885924840296665
S01,7.4,4.441807748540122,4.163912824001597,4.719702673078648
S01,7.5,4.3727753898460415,4.093631464382015,4.651919315310068
S01,7.6,4.30479765583174,4.0243775900218655,4.585217721641614
S01,7.7,4.2378605117986075,3.9561471104555337,4.519573913141682
S01,7.8,4.1719498692262,3.888935097652264,4.454964640800136
S01,7.9,4.107051617558683,3.8227358419551543,4.391367393162211
S01,8.0,4.0431516519816135,3.757542908455608,4.3287603955076195
S01,8.1,3.9802358976506116,3.693349194529217,4.267122600772006
S01,8.2,3.918290330780957,3.630146986237587,4.206433675324327
S01,8.3,3.857300996960644,3.567928013598397,4.146673980322891
S01,8.4,3.7972540270081248,3.5066835039337967,4.087824550082453
S01,8.5,3.7381356506593955,3.4464042337383387,4.029867067580453
S01,8.6,3.679932208336725,3.387080576769154,3.9727838399042965
S01,8.7,3.622630161222507,3.328702550885914,3.9165577715591
S01,8.8,3.566216099836296,3.271259861311349,3.861172338361243
S01,8.9,3.5106767512905193,3.2147419411726976,3.806611561408341
S01,9.0,3.4559989853802846,3.1591379897239382,3.752859981036631
S01,9.1,3.402169819645051,3.1044370071826872,3.699902632107415
S01,9.2,3.3491764235241304,3.050627827543423,3.6477250195048376
S01,9.3,3.2970061217141025,2.9976991484991675,3.5963130949290374
S01,9.4,3.2456463968238456,2.945639558892446,3.545653234755245
S01,9.5,3.195084891411949,2.894437564094285,3.4957322187296134
S01,9.6,3.1453094094815777,2.8440816090798426,3.4465372098833127
S01,9.7,3.096307917499235,2.7945600995942432,3.398055735404227
S01,9.8,3.048068544996272,2.745861421228451,3.350275668764093
S01,9.9,3.000579584805224,2.6979739567936556,3.3031852128167922
S01,10.0,2.953829492977057,2.650886102216169,3.2567728837379453
S01,10.1,2.907806888420134,2.6045862808111835,3.211027496029084
S01,10.2,2.862500552296962,2.5590629560606892,3.165938148533235
S01,10.3,2.8178994272106634,2.5143046432123874,3.1214942112089394
S01,10.4,2.773992616209366,2.4702999197284057,3.0776853126903263
S01,10.5,2.7307693816334906,2.4270374345931978,3.0345013286737834
S01,10.6,2.688219143827974,2.3845059165367797,2.9919323711191685
S01,10.7,2.64633147973891,2.3426941814611237,2.949968778016696
S01,10.8,2.6050961214118153,2.3015911391526243,2.9086011036710064
S01,10.9,2.564502954406711,2.2611857989265225,2.8678201098868996
S01,11.0,2.5245420161434105,2.2214672746497275,2.8276167576370934
S01,11.1,2.485203494188844,2.1824247894966406,2.787982198881047
S01,11.2,2.4464777244968237,2.1440476794944408,2.7489077694992066
S01,11.3,2.408355189609423,2.1063253971186513,2.710384982100195
S01,11.4,2.370826516828054,2.069247514225878,2.6724055194302294
S01,11.5,2.333882476361312,2.0328037242589336,2.6349612284636907
S01,11.6,2.2975139794558617,1.9969838443123298,2.5980441145993938
S01,11.7,2.2617120765157948,1.9617778171847746,2.561646335846815
S01,11.8,2.226467955215287,1.9271757122187578,2.525760198211816
S01,11.9,2.191772938608722,1.893167726803936,2.490378150413508
S01,12.0,2.1576184832419707,1.8597441868607774,2.4554927796231643
S01,12.1,2.123996177268003,1.826895547550035,2.421096806985971
S01,12.2,2.0908977385696303,1.7946123936199625,2.3871830835192984
S01,12.3,2.0583150128917778,1.762885439413861,2.3537445863696944
S01,12.4,2.026239971985396,1.731705528870014,2.320774415100778
S01,12.5,1.9946647117647895,1.7010636354140014,2.2882657881155777
S01,12.6,1.9635814504799387,1.6709508615318032,2.2562120394280742
S01,12.7,1.9329825269051257,1.64135843809093,2.2246066157193214
S01,12.8,1.9028603985449917,1.6122777241023505,2.1934430729876326
S01,12.9,1.8732076398589963,1.583700205704654,2.1627150740133385
S01,13.0,1.8440169405050462,1.5556174955082773,2.132416385501815
S01,13.1,1.815281103602999,1.5280213315920053,2.1025408756139927
S01,13.2,1.7869930440185473,1.5009035767316024,2.0730825113054925
S01,13.3,1.759145786667951,1.4742562170184421,2.04403535631746
S01,13.4,1.7317324648439432,1.4480713611839717,2.0153935685039146
S01,13.5,1.7047463185630898,1.4223412391460724,1.9871513979801072
S01,13.6,1.678180692934781,1.3970582009226242,1.9593031849469376
S01,13.7,1.6520290365520012,1.3722147153540885,1.931843357749914
S01,13.8,1.6262848999039357,1.34780336895187,1.9047664308560013
S01,13.9,1.6009419338104565,1.3238168644336346,1.8780670031872784
S01,14.0,1.5759938878784525,1.3002480195242605,1.8517397562326445
S01,14.1,1.5514346089799762,1.277089765584512,1.8257794523754405
S01,14.2,1.527258039752099,1.2543351461443395,1.8001809333598584
S01,14.3,1.5034582171183837,1.2319773156971627,1.7749391185396046
S01,14.4,1.4800292708318228,1.21000953822909,1.7500490034345555
S01,14.5,1.456965422039091,1.1884251856535466,1.7255056584246355
S01,14.6,1.4342609818659475,1.167217736748067,1.701304226983828
S01,14.7,1.4119103500235815,1.1463807755060542,1.6774399245411087
S01,14.8,1.389908013435708,1.1259079896754864,1.6539080371959296
S01,14.9,1.3682485448862076,1.1057931695590377,1.6307039202133775
S01,15.0,1.346926601687069,1.0860302064568101,1.6078229969173277
S01,15.1,1.32593692436642,1.0666130912585365,1.5852607574743036
S01,15.2,1.3052743353764091,1.0475359131315323,1.563012757621286
S01,15.3,1.2849337378206815,1.0287928580229222,1.541074617618441
S01,15.4,1.2649101142012324,1.0103782072956136,1.5194420211068513
S01,15.5,1.2451985251843518,0.9922863364016559,1.4981107139670478
S01,15.6,1.2257941083854487,0.9745117134443168,1.4770765033265807
S01,15.7,1.2066920771724734,0.9570488978476521,1.4563352564972947
S01,15.8,1.1878877194877027,0.9398925389414321,1.4358829000339732
S01,15.9,1.169376396687624,0.9230373747665755,1.4157154186086727
S01,16.0,1.1511535424006716,0.9064782305103596,1.3958288542909836
S01,16.1,1.1332146614025642,0.8902100174014517,1.3762193054036767
S01,16.2,1.1155553285089843,0.8742277313110652,1.3568829257069033
S01,16.3,1.098171187485357,0.858526451424908,1.337815923545806
S01,16.4,1.0810579499734798,0.8431013391090417,1.319014560837918
S01,16.5,1.0642113944347482,0.8279476363888555,1.3004751524806408
S01,16.6,1.0476273651097463,0.8130606649715245,1.282194065247968
S01,16.7,1.0313017709939487,0.7984358248090693,1.2641677171788281
S01,16.8,1.0152305848292915,0.784068593017498,1.246392576641085
S01,16.9,0.9994098421113968,0.7699545225123756,1.228865161710418
S01,17.0,0.9838356401121813,0.7560892409598812,1.2115820392644814
S01,17.1,0.9685041369176496,0.7424684494785292,1.19453982435677
S01,17.2,0.9534115504806205,0.7290879216193066,1.1777351793419344
S01,17.3,0.9385541576881704,0.7159435020276987,1.161164813348642
S01,17.4,0.9239282934435665,0.7030311054765783,1.1448254814105547
S01,17.5,0.909530349762468,0.6903467156414992,1.128713983883437
S01,17.6,0.8953567748831817,0.6778863840301588,1.1128271657362045
S01,17.7,0.881404072390749,0.6656462289027941,1.0971619158787038
S01,17.8,0.8676688003546597,0.6536224342076227,1.0817151665016966
S01,17.9,0.8541475704799799,0.64181124842392,1.0664838925360398
S01,18.0,0.8408370472716854,0.6302089836616509,1.05146511088172
S01,18.1,0.8277339472120024,0.6188120145392594,1.0366558798847456
S01,18.2,0.8148350379505525,0.607616777154802,1.022053298746303
S01,18.3,0.8021371375070954,0.5966197681673747,1.0076545068468161
S01,18.4,0.7896371134866982,0.5858175437102799,0.9934566832631164
S01,18.5,0.7773318823071083,0.5752067184851738,0.9794570461290427
S01,18.6,0.7652184084381666,0.5647839648030024,0.9656528520733307
S01,18.7,0.7532937036530609,0.5545460115680425,0.9520413957380793
S01,18.8,0.7415548262912381,0.5444896434803226,0.9386200091021537
S01,18.9,0.7299988805328003,0.5346116999384586,0.925386061127142
S01,19.0,0.7186230156841958,0.524909074306713,0.9123369570616787
S01,19.1,0.7074244254750433,0.5153787129460276,0.899470138004059
S01,19.2,0.6964003473659031,0.5060176143137801,0.886783080418026
S01,19.3,0.6855480618668334,0.4968228281898319,0.8742732955438348
S01,19.4,0.6748648918665644,0.4877914547098604,0.8619383290232684
S01,19.5,0.6643482019721183,0.4789206436321128,0.8497757603121239
S01,19.6,0.6539953978587212,0.4702075934855303,0.837783202231912
S01,19.7,0.6438039256298417,0.46164955069049773,0.8259583005691856
S01,19.8,0.6337712711871966,0.45324380886794136,0.8142987335064518
S01,19.9,0.6238949596105801,0.4449877080069876,0.8028022112141725
S01,20.0,0.6141725545473453,0.4368786336464589,0.7914664754482317
S01,20.1,0.6046016576114067,0.42891401619196234,0.7802892990308511
S01,20.2,0.5951799077916023,0.42109133011516364,0.769268485468041
S01,20.3,0.5859049808692742,0.4134080932259778,0.7584018685125706
S01,20.4,0.5767745888449266,0.4058618659922158,0.7476873116976375
S01,20.5,0.5677864793738149,0.3984502507440898,0.73712270800354
S01,20.6,0.5589384352103308,0.3911708910335213,0.7267059793871403
S01,20.7,0.5502282736610451,0.38402147092152705,0.7164350764005631
S01,20.8,0.5416538460462713,0.3769997142796949,0.7063079778128477
S01,20.9,0.5332130371700222,0.3701033841676672,0.6963226901723772
S01,21.0,0.5249037647982228,0.3633302821536468,0.6864772474427987
S01,21.1,0.5167239791450566,0.35667824765006084,0.6767697106400524
S01,21.2,0.5086716623673154,0.3501451572499693,0.6671981674846615
S01,21.3,0.5007448280666249,0.3437289242072875,0.6577607319259623
S01,21.4,0.4929415207994333,0.3374274976910694,0.6484555439077972
S01,21.5,0.48525981559462994,0.33123886226000154,0.6392807689292583
S01,21.6,0.47769781747868423,0.3251610372385482,0.6302345977188202
S01,21.7,0.47025366100818317,0.3191920761346314,0.6213152458817349
S01,21.8,0.4629255098096526,0.31333006604343,0.6125209535758751
S01,21.9,0.45571155612655095,0.3075731271104447,0.6038499851426572
S01,22.0,0.44861002037332065,0.3019194119607756,0.5953006287858658
S01,22.1,0.4416191506963905,0.29636710512367925,0.5868711962691018
S01,22.2,0.43473722254201735,0.29091442253390953,0.5785600225501252
S01,22.3,0.42796253823086244,0.2855596109571694,0.5703654655045555
S01,22.4,0.421293426539199,0.28030094751481804,0.5622859055635799
S01,22.5,0.4147282422866427,0.27513673911582004,0.5543197454574653
S01,22.6,0.4082653659303098,0.27006532199362465,0.546465409866995
S01,22.7,0.40190320316529865,0.26508506116999786,0.5387213451605994
S01,22.8,0.3956401845313946,0.26019435001694535,0.5310860190458438
S01,22.9,0.3894747650259076,0.2553916097126133,0.5235579203392019
S01,23.0,0.38340542372254016,0.25067528883043855,0.5161355586146418
S01,23.1,0.37743066339619624,0.24604386281314258,0.5088174639792499
S01,23.2,0.37154901015363595,0.2414958335760451,0.5016021867312268
S01,23.3,0.3657590130698859,0.23702972897684182,0.49448829716292997
S01,23.4,0.36005924383031646,0.23264410247080383,0.4874743851898291
S01,23.5,0.35444829637829495,0.2283375325907342,0.4805590601658557
S01,23.6,0.3489247865683314,0.22410862256229372,0.47374095057436916
S01,23.7,0.34348735182462853,0.21995599988981457,0.4670187037594425
S01,23.8,0.33813465080495164,0.2158783158828148,0.4603909857270885
S01,23.9,0.33286536306973935,0.21187424534200136,0.4538564807974773
S01,24.0,0.32767818875636745,0.20794248607228716,0.44741389144044774
S02,0.0,0.0,0.0,0.0
S02,0.1,1.4763468333446874,1.3820280895249955,1.5706655771643794
S02,0.2,2.771835077417729,2.60830854158919,2.935361613246268
S02,0.3,3.906280675512322,3.693915444975366,4.118645906049278
S02,0.4,4.8973586933606965,4.652485953351148,5.142231433370245
S02,0.5,5.760834177593896,5.496348373936098,6.025319981251694
S02,0.6,6.510768126335914,6.236638740282711,6.784897512389117
S02,0.7,7.159701254892415,6.883407320560783,7.435995189224046
S02,0.8,7.718817950267201,7.4457168168314745,7.991919083702928
S02,0.9,8.198092550191921,7.9317344911998395,8.464450609184004
S02,1.0,8.606419852124345,8.348821009284784,8.864018694963907
S02,1.1,8.951731552259847,8.70361912552876,9.199843978990934
S02,1.2,9.241100131333345,9.00214478130476,9.48005548136193
S02,1.3,9.480831540478148,9.249880837393247,9.711782243563048
S02,1.4,9.676547894524019,9.45186908336733,9.901226705680708
S02,1.5,9.833261249959197,9.612790780804474,10.05373171911392
S02,1.6,9.955439428654525,9.737023635161801,10.17385522214725
S02,1.7,10.04706474484009,9.828667591584205,10.265461898095976
S02,1.8,10.11168640038593,9.891542330132758,10.331830470639101
S02,1.9,10.15246723096459,9.929169178426756,10.375765283502423
S02,2.0,10.17222541209035,9.944752859531228,10.399697964649473
S02,2.1,10.173471668379273,9.941173726361235,10.40576961039731
S02,2.2,10.15844247080083,9.920993746629353,10.395891194972307
S02,2.3,10.129129654432804,9.88647405296554,10.371785255900068
S02,2.4,10.087306842605546,9.839599731867521,10.335013953343571
S02,2.5,10.034553021722536,9.782107738585678,10.286998304859393
S02,2.6,9.972273573929453,9.715514987701262,10.229032160157644
S02,2.7,9.901719041690104,9.641144885476706,10.162293197903502
S02,2.8,9.824001868783707,9.560151469871252,10.087852267696162
S02,2.9,9.740111335878703,9.473540901791381,10.006681769966026
S02,3.0,9.65092688532084,9.38219035912583,9.91966341151585
S02,3.1,9.557230008790787,9.286864538191764,9.82759547938981
S02,3.2,9.459714852766215,9.188230021432256,9.731199684100174
S02,3.3,9.358997680020838,9.086867773368137,9.63112758667354
S02,3.4,9.255625310491219,8.98328401412069,9.527966606861748
S02,3.5,9.15008265154664,8.877919688438695,9.422245614654585
S02,3.6,9.042799415835407,8.771158722900193,9.314440108770622
S02,3.7,8.934156114297393,8.663335237839838,9.204976990754947
S02,3.8,8.824489402490395,8.554739853372677,9.094238951608112
S02,3.9,8.714096849953137,8.445625211779275,8.982568488126999
S02,4.0,8.603241194811579,8.336210819410507,8.870271570212651
S02,4.1,8.49215413912892,8.226687294306098,8.75762098395174
S02,4.2,8.381039734516666,8.117220097054563,8.644859371978768
S02,4.3,8.270077402185937,8.00795280648011,8.532201997891763
S02,4.4,8.159424626855417,7.899009997288108,8.419839256422726
S02,4.5,8.049219359683164,7.790499763732165,8.307938955634164
S02,4.6,7.939582161598272,7.682515933771958,8.196648389424587
S02,4.7,7.830618115025849,7.575140003588788,8.08609622646291
S02,4.8,7.7224185289809775,7.468442827112568,7.976394230849387
S02,4.9,7.615062459814734,7.362486084437692,7.867638835191776
S02,5.0,7.508618067493145,7.257323552982363,7.759912582003926
S02,5.1,7.403143825146582,7.1530022029944975,7.653285447298667
S02,5.2,7.298689597714934,7.049563136049214,7.547816059380654
S02,5.3,7.1952976038077345,6.9470423835164326,7.4435528240990365
S02,5.4,7.09300327337625,6.845471582121702,7.340534964630798
S02,5.5,6.991836012436499,6.74487854066948,7.238793484203518
S02,5.6,6.891819884870424,6.645287712992303,7.138352056748545
S02,5.7,6.792974220251418,6.546720589598667,7.039227850904169
S02,5.8,6.69531415567591,6.44919602053041,6.94143229082141
S02,5.9,6.598851118722104,6.352730480494427,6.844971756949781
S02,6.0,6.503593257889303,6.257338286712336,6.74984822906627
S02,6.1,6.409545826186117,6.163031778157254,6.65605987421498
S02,6.2,6.3167115229248445,6.069821464218288,6.563601581631401
S02,6.3,6.225090798233892,5.977716149813194,6.47246544665459
S02,6.4,6.1346821243137475,5.886723042262451,6.382641206365044
S02,6.5,6.0454822370278825,5.796847845096098,6.294116628959667
S02,6.6,5.9574863510327365,5.708094841910273,6.2068778601552
S02,6.7,5.870688351305473,5.620466973656982,6.120909728953964
S02,6.8,5.785080963619851,5.533965911490465,6.036196015749238
S02,6.9,5.700655906245641,5.448592126094359,5.9527196863969225
S02,7.0,5.617404024901526,5.364344955574302,5.870463094228749
S02,7.1,5.535315412772606,5.281222671346269,5.789408154198943
S02,7.2,5.45437951720823,5.199222543365739,5.709536491050722
S02,7.3,5.37458523454166,5.1183409041417764,5.630829564941543
S02,7.4,5.295920994317563,5.038573211748325,5.553268776886801
S02,7.5,5.218374834074647,4.9599141116749985,5.476835556474296
S02,7.6,5.141934465706959,4.88235749716687,5.401511434247048
S02,7.7,5.066587334316974,4.805896568090525,5.327278100543424
S02,7.8,4.992320670375079,4.730523887830888,5.254117452919271
S02,7.9,4.91912153591216,4.656231438083688,5.182011633740632
S02,8.0,4.846976865393603,4.583010671396687,5.110943059390518
S02,8.1,4.775873501853016,4.510852561681269,5.040894442024762
S02,8.2,4.705798228801637,4.4397476515525796,4.971848806050694
S02,8.3,4.636737798373596,4.369686098000727,4.903789498746464
S02,8.4,4.568678956117634,4.30065771488052,4.836700197354748
S02,8.5,4.501608462801445,4.232652012914251,4.77056491268864
S02,8.6,4.435513113555348,4.165658237086411,4.705367990024285
S02,8.7,4.370379754646645,4.099665402273527,4.6410941070197635
S02,8.8,4.306195298144604,4.034662325277242,4.577728271011966
S02,8.9,4.242946734707857,3.970637655413258,4.515255814002456
S02,9.0,4.1806211447009956,3.9075799023716433,4.453662387030348
S02,9.1,4.119205707824779,3.845477462458804,4.392933953190754
S02,9.2,4.058687711424413,3.7843186421654527,4.333056780683373
S02,9.3,3.9990545576225975,3.7240916800401047,4.27401743520509
S02,9.4,3.940293769408117,3.6647847671792513,4.215802771636983
S02,9.5,3.882392995796639,3.6063860653626416,4.158399926230636
S02,9.6,3.8253400161677287,3.5488837239386584,4.101796308396799
S02,9.7,3.7691227438707986,3.492265895239222,4.045979592502375
S02,9.8,3.713729229182705,3.436520748565993,3.990937709799417
S02,9.9,3.6591476616906795,3.3816364826875107,3.9366588406938483
S02,10.0,3.6053663721663067,3.3276013375215365,3.883131406811077
S02,10.1,3.5523738339891424,3.2744036045217726,3.8303440634565122
S02,10.2,3.500158664172149,3.2220316358081846,3.7782856925361137
S02,10.3,3.4487096240354806,3.170473852966527,3.7269453951044342
S02,10.4,3.3980156195700766,3.119718754198626,3.676312484941527
S02,10.5,3.3480657015279776,3.0697549214164273,3.626376481639528
S02,10.6,3.2988490652722886,3.020571026092105,3.5771271044524724
S02,10.7,3.2503550504160748,2.9721558346874817,3.528554266144668
S02,10.8,3.2025731402762827,2.924498213468362,3.4806480670842035
S02,10.9,3.155492961165937,2.877587132453332,3.4333987898785416
S02,11.0,3.109104281545262,2.8314116693449307,3.3867968937455935
S02,11.1,3.0633970110501663,2.7859610125122916,3.340833009588041
S02,11.2,3.018361199414426,2.741224463927924,3.295497934900928
S02,11.3,2.973987035300151,2.697191441376951,3.250782629223351
S02,11.4,2.9302648450494777,2.6538514805297497,3.2066782095692057
S02,11.5,2.8871850913689703,2.6111942366496654,3.163175946088275
S02,11.6,2.844738371956982,2.569209485811678,3.1202672581022863
S02,11.7,2.8029154180830305,2.5278871263455454,3.0779437098205156
S02,11.8,2.7617070931272427,2.487217179272028,3.0361970069824573
S02,11.9,2.7211043910870236,2.4471897891960532,2.995018992977994
S02,12.0,2.6810984350572644,2.407795224623668,2.954401645490861
S02,12.1,2.641680475689707,2.3690238782837545,2.91433707309566
S02,12.2,2.602841889636434,2.330866267120409,2.8748175121524593
S02,12.3,2.5645741779818447,2.2933130322494737,2.8358353237142158
S02,12.4,2.526868964667034,2.2563549387914836,2.7973829905425847
S02,12.5,2.4897179949099493,2.2199828752767607,2.759453114543138
S02,12.6,2.4531131336243726,2.1841878535733317,2.7220384136754134
S02,12.7,2.417046363840355,2.1489610080076593,2.685131719673051
S02,12.8,2.3815097851284417,2.114293594898571,2.6487259753583126
S02,12.9,2.3464956120297273,2.0801769916370914,2.6128142324223633
S02,13.0,2.31199617249351,2.046602696055068,2.577389648931952
S02,13.1,2.2780039063241264,2.013562325539688,2.542445487108565
S02,13.2,2.2445113636382996,1.9810476159735957,2.5079751113030038
S02,13.3,2.2115112033341804,1.9490504208042756,2.473971985864085
S02,13.4,2.178996191573096,1.9175627101139305,2.440429673032262
S02,13.5,2.1469592002748707,1.886576569371382,2.407341831178359
S02,13.6,2.1153932056274725,1.8560841985377787,2.374702212717166
S02,13.7,2.084291286611601,1.8260779106132101,2.3425046626099917
S02,13.8,2.0536466235407613,1.796550130917653,2.3107431161638696
S02,13.9,2.023452496617265,1.7674933954701495,2.2794115977643803
S02,14.0,1.9937022845045003,1.7389003499202995,2.248504219088701
S02,14.1,1.9643894629158039,1.7107637485780878,2.2180151772535197
S02,14.2,1.9355076032201257,1.6830764526678843,2.187938753772367
S02,14.3,1.9070503710646944,1.6558314296915386,2.1582693124378505
S02,14.4,1.8790115250147947,1.6290217514616958,2.1290012985678937
S02,14.5,1.851384915210747,1.6026405936060693,2.100129236815425
S02,14.6,1.8241644820421443,1.5766812335417397,2.0716477305425487
S02,14.7,1.7973442548393521,1.5511370498786377,2.043551459800067
S02,14.8,1.7709183505822599,1.5260015206233182,2.0158351805412016
S02,14.9,1.7448809726262537,1.5012682221953733,1.9884937230571342
S02,15.0,1.7192264094453331,1.476930828034746,1.9615219908559203
S02,15.1,1.693949033392296,1.4529831073389712,1.9349149594456208
S02,15.2,1.6690432994759052,1.4294189240177773,1.9086676749340332
S02,15.3,1.6445037441548973,1.4062322349357241,1.8827752533740705
S02,15.4,1.6203249841487364,1.3834170891666715,1.8572328791308013
S02,15.5,1.5965017152649434,1.3609676265349226,1.8320358039949642
S02,15.6,1.5730287112428853,1.3388780762352992,1.8071793462504715
S02,15.7,1.5499008226138407,1.3171427559090951,1.7826588893185862
S02,15.8,1.5271129755771986,1.295756070197648,1.7584698809567492
S02,15.9,1.5046601708926128,1.2747125095378375,1.7346078322473881
S02,16.0,1.4825374827879325,1.2540066490657957,1.7110683165100693
S02,16.1,1.4607400578827507,1.2336331473547175,1.687846968410784
S02,16.2,1.439263114127369,1.2135867451972762,1.664939483057462
S02,16.3,1.4181019397570036,1.1938622645525505,1.6423416149614567
S02,16.4,1.3972518922610528,1.174454607239022,1.6200491772830836
S02,16.5,1.376708397367228,1.1553587538639554,1.5980580408705007
S02,16.6,1.3564669480403717,1.1365697627606275,1.576364133320116
S02,16.7,1.336523103495762,1.1180827687107544,1.5549634382807698
S02,16.8,1.3168724882267244,1.099892981899282,1.5338519945541669
S02,16.9,1.297510791046365,1.0819956868158214,1.5130258952769087
S02,17.0,1.2784337641432173,1.0643862412256133,1.4924812870608213
S02,17.1,1.2596372221506476,1.0470600749534227,1.4722143693478724
S02,17.2,1.2411170412297985,1.030012688989657,1.45222139346994
S02,17.3,1.2228691581659108,1.0132396542786284,1.4324986620531932
S02,17.4,1.2048895694778259,0.9967366108148488,1.413042528140803
S02,17.5,1.1871743305404894,0.980499266446994,1.3938493946339847
S02,17.6,1.169719554720278,0.9645233961922384,1.3749157132483179
S02,17.7,1.1525214125229628,0.948804840767527,1.3562379842783985
S02,17.8,1.1355761307541374,0.9333395060872596,1.3378127554210153
S02,17.9,1.1188799916919328,0.9181233619068214,1.319636621477044
S02,18.0,1.1024293322718413,0.903152441053878,1.3017062234898045
S02,18.1,1.0862205432834837,0.8884228384913504,1.284018248075617
S02,18.2,1.0702500685791447,0.8739307102528212,1.2665694269054684
S02,18.3,1.0545144042938985,0.8596722726845965,1.2493565359032006
S02,18.4,1.0390100980771884,0.8456438013614618,1.232376394792915
S02,18.5,1.023733748335652,0.8318416303023292,1.2156258663689745
S02,18.6,1.0086820034870718,0.8182621511355755,1.1991018558385682
S02,18.7,0.9938515612252603,0.804901812002989,1.1828013104475317
S02,18.8,0.9792391677957352,0.7917571169600427,1.1667212186314275
S02,18.9,0.9648416172820311,0.7788246249231261,1.1508586096409361
